danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.706,0.383,8,-11.44,1,0.0342,0.758,0.0,0.0608,0.87,86.997,audio_features,4KV9bM7a1KDc7b7OakFZic,spotify:track:4KV9bM7a1KDc7b7OakFZic,https://api.spotify.com/v1/tracks/4KV9bM7a1KDc7b7OakFZic,https://api.spotify.com/v1/audio-analysis/4KV9bM7a1KDc7b7OakFZic,122160,4
0.505,0.86,2,-6.276,1,0.425,0.198,0.0,0.125,0.576,191.535,audio_features,5MknXpAUgINT11lxoobaJK,spotify:track:5MknXpAUgINT11lxoobaJK,https://api.spotify.com/v1/tracks/5MknXpAUgINT11lxoobaJK,https://api.spotify.com/v1/audio-analysis/5MknXpAUgINT11lxoobaJK,199547,4
0.679,0.622,7,-12.837,0,0.0961,0.77,1.34e-05,0.117,0.961,152.027,audio_features,30WHma5z5Sty54jbtoxYEy,spotify:track:30WHma5z5Sty54jbtoxYEy,https://api.spotify.com/v1/tracks/30WHma5z5Sty54jbtoxYEy,https://api.spotify.com/v1/audio-analysis/30WHma5z5Sty54jbtoxYEy,164573,4
0.575,0.236,2,-16.982,1,0.0422,0.968,0.0178,0.105,0.829,79.576,audio_features,7n7VsX3sv66znBwA8b5uhp,spotify:track:7n7VsX3sv66znBwA8b5uhp,https://api.spotify.com/v1/tracks/7n7VsX3sv66znBwA8b5uhp,https://api.spotify.com/v1/audio-analysis/7n7VsX3sv66znBwA8b5uhp,115827,4
0.676,0.412,8,-7.97,1,0.0347,0.796,0.0,0.139,0.47,124.891,audio_features,7dvkUNutBgT1tw41tpvpUh,spotify:track:7dvkUNutBgT1tw41tpvpUh,https://api.spotify.com/v1/tracks/7dvkUNutBgT1tw41tpvpUh,https://api.spotify.com/v1/audio-analysis/7dvkUNutBgT1tw41tpvpUh,157600,4
0.54,0.734,7,-4.668,1,0.0366,0.365,0.0,0.132,0.36,123.877,audio_features,2nMZx7QHerfo4Wv37xNUEC,spotify:track:2nMZx7QHerfo4Wv37xNUEC,https://api.spotify.com/v1/tracks/2nMZx7QHerfo4Wv37xNUEC,https://api.spotify.com/v1/audio-analysis/2nMZx7QHerfo4Wv37xNUEC,216907,4
0.54,0.235,9,-9.676,1,0.0458,0.905,0.0,0.15,0.415,119.766,audio_features,4hrQGaFalrGJfcsILMxjuc,spotify:track:4hrQGaFalrGJfcsILMxjuc,https://api.spotify.com/v1/tracks/4hrQGaFalrGJfcsILMxjuc,https://api.spotify.com/v1/audio-analysis/4hrQGaFalrGJfcsILMxjuc,218267,4
0.172,0.363,10,-11.667,1,0.0343,0.812,0.0,0.113,0.236,174.903,audio_features,1sFWEpf1aPYN576LS1aa4Y,spotify:track:1sFWEpf1aPYN576LS1aa4Y,https://api.spotify.com/v1/tracks/1sFWEpf1aPYN576LS1aa4Y,https://api.spotify.com/v1/audio-analysis/1sFWEpf1aPYN576LS1aa4Y,219293,3
0.582,0.151,9,-12.217,1,0.0411,0.862,0.0,0.0801,0.282,109.626,audio_features,3jKGG4THqegu6EgxinAIYm,spotify:track:3jKGG4THqegu6EgxinAIYm,https://api.spotify.com/v1/tracks/3jKGG4THqegu6EgxinAIYm,https://api.spotify.com/v1/audio-analysis/3jKGG4THqegu6EgxinAIYm,137138,4
0.634,0.645,5,-9.2,1,0.0376,0.292,0.0,0.246,0.677,93.047,audio_features,38xhBO2AKrJnjdjVnhJES6,spotify:track:38xhBO2AKrJnjdjVnhJES6,https://api.spotify.com/v1/tracks/38xhBO2AKrJnjdjVnhJES6,https://api.spotify.com/v1/audio-analysis/38xhBO2AKrJnjdjVnhJES6,231173,4
