,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
74,0.305,0.186,10,-14.75,1,0.0348,0.846,0.0,0.325,0.571,200.073,audio_features,71An5ejPuJd6vrROJ8KY3l,spotify:track:2345kZ5rt8eHjO8CFpx3Yi,https://api.spotify.com/v1/tracks/71An5ejPuJd6vrROJ8KY3l,https://api.spotify.com/v1/audio-analysis/71An5ejPuJd6vrROJ8KY3l,133533,3
75,0.327,0.299,5,-13.765,0,0.0294,0.927,0.952,0.127,0.465,85.241,audio_features,1KYp6R9KfYSna86gFkIhq0,spotify:track:6OJdXv1Q5OdLgYolFEunJ4,https://api.spotify.com/v1/tracks/1KYp6R9KfYSna86gFkIhq0,https://api.spotify.com/v1/audio-analysis/1KYp6R9KfYSna86gFkIhq0,144933,4
76,0.704,0.103,5,-15.056,0,0.0607,0.897,0.0,0.192,0.468,84.475,audio_features,1vZKP9XURuqMp1SpXGnoyb,spotify:track:4NSpbTS4vPq5rVODdlkF55,https://api.spotify.com/v1/tracks/1vZKP9XURuqMp1SpXGnoyb,https://api.spotify.com/v1/audio-analysis/1vZKP9XURuqMp1SpXGnoyb,206507,4
77,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,audio_features,4PS1e8f2LvuTFgUs1Cn3ON,spotify:track:2Jb4TDYdPhc0KuzJY6KvZQ,https://api.spotify.com/v1/tracks/4PS1e8f2LvuTFgUs1Cn3ON,https://api.spotify.com/v1/audio-analysis/4PS1e8f2LvuTFgUs1Cn3ON,192160,4
78,0.262,0.153,5,-19.642,1,0.0387,0.958,0.253,0.106,0.151,85.991,audio_features,3QXQc9zYWMK5hQjiRAS5du,spotify:track:1KYp6R9KfYSna86gFkIhq0,https://api.spotify.com/v1/tracks/3QXQc9zYWMK5hQjiRAS5du,https://api.spotify.com/v1/audio-analysis/3QXQc9zYWMK5hQjiRAS5du,184533,5
79,0.48,0.0833,10,-17.599,1,0.0368,0.661,0.0,0.102,0.218,74.273,audio_features,4jxBwczdzscRdoNKxnX3YT,spotify:track:46pF1zFimM582ss1PrMy68,https://api.spotify.com/v1/tracks/4jxBwczdzscRdoNKxnX3YT,https://api.spotify.com/v1/audio-analysis/4jxBwczdzscRdoNKxnX3YT,140400,3
80,0.331,0.223,4,-11.274,1,0.0338,0.88,5.92e-06,0.343,0.355,92.896,audio_features,1rv46mRwDqMEhOBZ7vODg3,spotify:track:5wbQ6oZjDZO9xREdXA0CZw,https://api.spotify.com/v1/tracks/1rv46mRwDqMEhOBZ7vODg3,https://api.spotify.com/v1/audio-analysis/1rv46mRwDqMEhOBZ7vODg3,207200,3
81,0.691,0.402,8,-12.149,1,0.0599,0.703,0.0,0.463,0.844,139.752,audio_features,1XBc4r6ltXjkFJBrsttwIF,spotify:track:1VyonZxNQIaitHjyiXk72Z,https://api.spotify.com/v1/tracks/1XBc4r6ltXjkFJBrsttwIF,https://api.spotify.com/v1/audio-analysis/1XBc4r6ltXjkFJBrsttwIF,125827,4
82,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,audio_features,3QiAAp20rPC3dcAtKtMaqQ,spotify:track:6cw1OgKsuEWQbmQb5Z4a3T,https://api.spotify.com/v1/tracks/3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/audio-analysis/3QiAAp20rPC3dcAtKtMaqQ,129173,4
83,0.184,0.645,7,-8.211,0,0.0832,0.823,2.34e-06,0.879,0.265,80.678,audio_features,6HQFPItDJGrzKP6NwhlKsb,spotify:track:1vZKP9XURuqMp1SpXGnoyb,https://api.spotify.com/v1/tracks/6HQFPItDJGrzKP6NwhlKsb,https://api.spotify.com/v1/audio-analysis/6HQFPItDJGrzKP6NwhlKsb,209293,4
